Algo_1,Algo_2,Algo_3,Algo_4,M,N,notes
0.355778933,0.279379845,0.20323801,0.182920694,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.150772095,0.625190496,0.108579397,0.066673756,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.352288485,0.387456179,0.352409601,0.146001339,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.339803696,0.711377621,0.243682146,0.185148716,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.352674246,0.493946075,0.187515974,0.168999195,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.329543829,1.017973185,0.195559502,0.159614086,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.329259396,0.401603222,0.211982965,0.163166761,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.281998396,2.550088167,0.179367065,0.140185118,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.466171026,0.635919094,0.386074781,0.237515688,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.540008068,0.500498772,0.364498615,0.200931549,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.34368372,0.903099298,0.22522521,0.206918001,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.339816332,1.307808399,0.270506144,0.140999556,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.348216772,0.359027863,0.251442194,0.164884806,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.260000229,1.950273991,0.277734518,0.123289108,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.362519979,0.599582672,0.266612291,0.152000666,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.180001259,1.128989697,0.108948708,0.083164692,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.360720396,0.624255419,0.302571535,0.188148499,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.338415623,0.672267914,0.222882509,0.15400815,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.386364937,0.888776779,0.215008736,0.194000721,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.350591421,0.310720682,0.210572958,0.175656796,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.349521875,0.664676905,0.33195281,0.133000851,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.345618725,0.512858391,0.22091794,0.135998249,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.353560686,0.222002029,0.226247311,0.221331596,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.169599533,0.565222263,0.096904993,0.086069345,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.178509474,0.178014517,0.099107265,0.192173958,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.178064823,0.436085939,0.136555672,0.140001774,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.388045311,0.552287102,0.230253935,0.230083704,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.361397743,0.531567574,0.293470383,0.18838644,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.378120184,0.573548794,0.189777374,0.200000763,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.375697851,0.628794193,0.29138422,0.203057051,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.187066793,1.387069225,0.169875145,0.152010918,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.346604586,0.696551085,0.212652445,0.196891785,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.368664026,0.318120241,0.219512463,0.232371092,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.177228451,1.108664513,0.170093775,0.122622728,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.199576616,1.030036926,0.210875273,0.180999994,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.560201406,0.70313859,0.59877038,0.317817211,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.208988667,0.191194773,0.166162014,0.145392895,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.355277061,0.396900415,0.299077988,0.216819048,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.37132597,0.536958218,0.212628126,0.23952508,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.208257914,1.450844765,0.233999491,0.184009075,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.222743511,0.554234028,0.235508442,0.156999826,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.125873804,1.048780918,0.165647984,0.156260252,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.364867687,0.340021133,0.363650799,0.245000839,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.391342402,0.729267597,0.300507784,0.233412027,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.384484053,0.605933428,0.282628298,0.25781703,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.20623064,0.380426407,0.155600548,0.144001722,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.382598877,0.176001072,0.23255229,0.234582663,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.179997206,1.402392387,0.147203445,0.174226046,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.541757345,0.31831193,0.410800934,0.325933218,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.377910137,1.090701342,0.274846792,0.250582695,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.210298061,0.419593334,0.207514286,0.140001297,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.423017979,0.504200459,0.25866437,0.252948284,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.367279768,0.825992823,0.257128,0.263217926,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.397078991,0.903536558,0.34188199,0.409538507,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.228604317,0.564091444,0.265267372,0.242721081,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.390264273,0.653655529,0.262471199,0.285757303,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.449273109,0.659743786,0.375911951,0.245947361,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.41009903,0.662787676,0.338311911,0.355520964,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.223524332,0.629942417,0.194930553,0.186589241,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.541058064,0.342960358,0.378205776,0.310734749,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.373903036,0.846868038,0.266024828,0.268157482,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.403133392,0.456756592,0.341331244,0.258723497,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.379235983,0.321485758,0.243144751,0.38822341,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.429129601,1.217136621,0.418670654,0.275347471,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.428477764,0.596004725,0.359884739,0.250397682,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.401358604,0.739176035,0.317402363,0.322533846,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.416494131,0.757762909,0.320276976,0.33585763,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.217000723,1.71188736,0.236689091,0.257262707,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.396690845,0.422771215,0.381189585,0.267580271,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.411342144,0.417547703,0.315491199,0.344839573,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.577137947,0.393082142,0.349979401,0.381850481,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.402225971,0.290982962,0.337334871,0.269259691,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.390065908,0.518811226,0.358937979,0.313795567,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.412129641,0.671413422,0.383677483,0.279792786,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.384102345,0.699915171,0.336172104,0.292267799,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.410965919,0.460624933,0.386471272,0.31372571,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.541048765,0.436671257,0.43328476,0.346055031,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.387545109,0.29049015,0.320894957,0.285241127,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.201595306,0.475106239,0.258008718,0.19946003,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.202682257,0.622407675,0.242361069,0.175997496,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.395893335,0.739478111,0.347805023,0.273129463,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.409804583,0.390922546,0.326506376,0.27799964,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.592088461,1.553222418,0.557997465,0.354655027,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.442516088,0.318965435,0.329902411,0.287100792,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.408221483,2.35555768,0.335363626,0.3570683,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.386396885,0.683493376,0.411416769,0.390143871,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.58006978,0.679957867,0.458238602,0.431696177,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.544983149,0.309934855,0.456306934,0.3586092,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.4074471,0.370690823,0.379003286,0.328245163,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.328578711,2.510086536,0.412055969,0.360614777,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.463580847,0.397032738,0.368420839,0.505110025,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.338366747,0.354192495,0.30082202,0.354128599,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.457018614,0.453797102,0.341415405,0.453807354,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.420938253,0.28405261,0.35311389,0.394553661,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.442472935,0.406497717,0.416050196,0.324627161,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.432206154,0.569939375,0.408261299,0.358638287,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.279283285,0.742630005,0.277902603,0.2269454,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.430406809,0.708224535,0.326768398,0.317869663,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.401898384,0.769589424,0.375646591,0.329970598,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.225988626,0.527645588,0.292009115,0.255379915,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.427324533,0.429913759,0.341584444,0.410887241,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.473310709,0.26381588,0.391715288,0.351516724,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.216596603,0.318309546,0.279134035,0.297105312,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.412210703,1.155495644,0.468251705,0.361660242,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.589873791,0.982777596,0.605232,0.484690666,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.229545832,0.482055902,0.301815271,0.292269707,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.409959793,0.743821144,0.439155579,0.340783596,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.611214399,0.756104708,0.522704601,0.455180407,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.431886435,0.752670765,0.429341555,0.357586384,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.519986153,1.054826498,0.373162031,0.385118961,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.466135979,0.597970724,0.403128386,0.349844456,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.448304653,0.562118292,0.393917322,0.387525082,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.678659201,0.352045298,0.523129225,0.526656628,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.234035969,0.361648321,0.21311903,0.253800631,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.410807133,0.637681007,0.443735838,0.594767094,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.661800146,0.290337801,0.394769192,0.42303443,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.409424305,0.556123734,0.420083046,0.421403646,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.497573853,0.843082428,0.461513042,0.393818617,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.653861284,0.611098766,0.564748764,0.469537497,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.660389423,1.357928753,0.610216141,0.513211966,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.457661152,0.451278687,0.373723507,0.438109398,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.414945364,0.813017845,0.614338636,0.392402411,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.459162474,0.971571922,0.450918436,0.510801554,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.416187286,0.533343554,0.43534255,0.463823557,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.396058083,1.102678061,0.404956818,0.319857597,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.43955183,0.819692135,0.435234308,0.375694275,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.443809748,0.46625495,0.402585268,0.330111742,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.438997984,0.426024914,0.408931017,0.437559605,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.337641239,1.683960915,0.438479662,0.285522699,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.426805735,0.781083345,0.481642485,0.360517263,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.439990759,0.733238459,0.479311943,0.446154118,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.408362627,0.702669859,0.447677851,0.383894205,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.197577477,1.034826279,0.320153236,0.270538092,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.576413155,0.268307924,0.458690166,0.514403343,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.264813185,0.393010616,0.352212667,0.283816814,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.417273521,0.351706505,0.397179604,0.446468115,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.413978577,1.073479414,0.36912322,0.320880651,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.447970867,0.674369335,0.581154346,0.517479658,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.432374239,0.26720643,0.465401411,0.415751219,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.508298874,0.406783581,0.481031656,0.424909115,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.48206234,0.312021255,0.513669252,0.399564266,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.632896662,0.371958733,0.571291447,0.43759346,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.419235229,0.664168119,0.487930536,0.363254309,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.220006466,0.713235855,0.453722954,0.45701313,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.443964243,0.827527046,0.602149487,0.524336338,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.48161459,0.69531846,0.4492805,0.528445959,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.237654924,1.903048277,0.354507923,0.347045898,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.447127342,0.566219091,0.489703417,0.468996048,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.237482548,0.626156092,0.331900597,0.528581381,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.483512878,0.36286974,0.391262054,0.473540306,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.22929883,1.035130501,0.320493698,0.303478718,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.442691088,0.381716013,0.388324261,0.475641727,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.290102482,0.617978573,0.406899691,0.33934927,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.25357914,0.466104031,0.377306938,0.318265915,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.375507116,0.772314072,0.452147722,0.358873844,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.446419001,0.687950134,0.487536907,0.443371773,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.254999876,0.682303667,0.422115803,0.328987122,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
